cluster,countries,avg_years_covered,avg_start_expenditure,avg_end_expenditure,avg_expenditure,avg_growth,avg_growth_rate_percent,avg_trend_slope,total_latest_expenditure,latest_expenditure_share_percent
0,47,26.595744680851062,6303917419.531915,5287509197.234042,9047649646.021324,-1016408222.2978723,69.25594878199917,167427178.91386423,248512932270.0,64.83
1,4,27.0,74831127500.0,33706501000.0,76225604774.07407,-41124626500.0,-55.11343477859608,-354775908.6996202,134826004000.0,35.17
