Entity,Code,years_covered,first_year,last_year,start_expenditure,end_expenditure,avg_expenditure,median_expenditure,min_expenditure,max_expenditure,expenditure_std,absolute_growth,growth_rate_percent,expenditure_slope,cluster
Lithuania,LTU,27,1995,2021,188490380.0,575000000.0,936763374.074074,1034782100.0,188490380.0,1925587000.0,435885183.77109617,386509620.0,205.05535614072187,31911347.820512835,0
Luxembourg,LUX,27,1995,2021,2121406000.0,3828530200.0,2844485996.296296,2930398700.0,1882242600.0,3848132000.0,555950207.7338171,1707124200.0,80.47135720366587,53309004.212453865,0
Malta,MLT,27,1995,2021,380537200.0,240000000.0,373363731.1111111,378338340.0,132966280.0,561743800.0,94761802.75663772,-140537200.0,-36.93126453865745,3890919.114774091,0
Mexico,MEX,27,1995,2021,5638707700.0,5111000000.0,9150427744.444445,9434707000.0,3638250800.0,12118309000.0,2223947138.6452756,-527707700.0,-9.358663865481093,94478099.57265134,0
Netherlands,NLD,27,1995,2021,20758837000.0,9905401000.0,20671899729.62963,21207680000.0,7704924700.0,24985348000.0,3885592218.9669237,-10853436000.0,-52.283449212496826,-84405138.3394353,0
New Zealand,NZL,27,1995,2021,2238767900.0,1037999940.0,3293106838.5185184,3407424000.0,1037999940.0,4967104000.0,1131876580.6882946,-1200767960.0,-53.63521426227346,69725886.8253968,0
Norway,NOR,27,1995,2021,7525390000.0,3580000000.0,13058168177.777779,14410649000.0,3580000000.0,21478020000.0,5449944891.282589,-3945390000.0,-52.42771470980242,332007346.39804614,0
Poland,POL,27,1995,2021,9780162000.0,5735000000.0,8472985262.962963,9698052000.0,4544190500.0,12457164000.0,2149984685.648766,-4045162000.0,-41.360889523097875,49703792.61294091,0
Portugal,PRT,27,1995,2021,3732465400.0,4208999700.0,4334565814.814815,4230527500.0,3204184300.0,6072132600.0,764469144.9273201,476534300.0,12.767279771702638,56133355.128204904,0
Romania,ROU,27,1995,2021,1239413200.0,5210000000.0,2245372316.296296,2013887700.0,596547700.0,6355124000.0,1593508413.8629367,3970586800.0,320.3602156246198,172906877.77777627,0
Russia,RUS,27,1995,2021,20625470000.0,11407000000.0,27284902666.666668,23548875000.0,9574618000.0,62175170000.0,13771432009.872057,-9218470000.0,-44.694593626230095,843940575.0915657,0
Saudi Arabia,SAU,18,2004,2021,6352355000.0,12176000000.0,18815581777.77778,19221838500.0,6352355000.0,27605619000.0,5762439565.924502,5823645000.0,91.67694500700921,-110670218.78224848,0
Slovakia,SVK,27,1995,2021,570805760.0,1483000000.0,1715648470.3703704,1491944300.0,442264220.0,2829404200.0,901573314.6977134,912194240.0,159.80817012077804,89560103.04029256,0
Slovenia,SVN,27,1995,2021,1022471400.0,1202000000.0,1348693007.7777777,1318137600.0,804097200.0,2012029600.0,379963778.51769084,179528600.0,17.558300408207018,29450475.470085368,0
South Africa,ZAF,27,1995,2021,3287912400.0,991000000.0,3847065129.6296296,3601586400.0,971596100.0,6952705500.0,1321428205.351736,-2296912400.0,-69.8592943047996,-17153451.465200197,0
South Korea,KOR,27,1995,2021,11275637000.0,16683000000.0,20870601051.851852,21376027000.0,5768202000.0,37912076000.0,8462577607.736369,5407363000.0,47.95616425040998,823255740.1709368,0
Spain,ESP,27,1995,2021,8071300000.0,12225000000.0,17285811133.333332,19114447000.0,7902041600.0,29386620000.0,6772542449.012447,4153700000.0,51.46258966956996,530302021.6117221,0
Sweden,SWE,27,1995,2021,9687694000.0,8357000000.0,13547022111.11111,13894558000.0,6429496000.0,16946211000.0,2756951197.5181503,-1330694000.0,-13.735921056135753,106484915.75091709,0
Switzerland,CHE,27,1995,2021,13194328000.0,11662000000.0,14501921111.11111,13194328000.0,8341807000.0,21119800000.0,4095507947.4402947,-1532328000.0,-11.613535755667131,342591940.78143746,0
Turkey,TUR,27,1995,2021,1619950300.0,1650000000.0,4004252192.5925927,4306840600.0,1088857600.0,6454397400.0,1535573681.4127274,30049700.0,1.8549766619383325,86620642.42979325,0
United Kingdom,GBR,27,1995,2021,44323690000.0,27331000000.0,74533917222.22223,81620670000.0,25650977000.0,103782530000.0,20651028322.696182,-16992690000.0,-38.33771511352056,534811204.51772314,1
United States,USA,27,1995,2021,82471660000.0,56850000000.0,100908126740.74074,104213790000.0,35763740000.0,140195350000.0,20995608030.06662,-25621660000.0,-31.067229639854467,542249656.8986745,1
